i = 081, asin( 081/128=(0.632812) ) = 0x3fe5ecfee31c96e7 0.685180
i = 082, asin( 082/128=(0.640625) ) = 0x3fe63ffed6d198f6 0.695312
i = 083, asin( 083/128=(0.648438) ) = 0x3fe693b3f244ee17 0.705530
i = 084, asin( 084/128=(0.656250) ) = 0x3fe6e825383cc40b 0.715838
i = 085, asin( 085/128=(0.664062) ) = 0x3fe73d5a107bde74 0.726239
i = 086, asin( 086/128=(0.671875) ) = 0x3fe7935a501afa78 0.736737
i = 087, asin( 087/128=(0.679688) ) = 0x3fe7ea2e42c9027a 0.747337
i = 088, asin( 088/128=(0.687500) ) = 0x3fe841deb5114bb4 0.758041
i = 089, asin( 089/128=(0.695312) ) = 0x3fe89a74ffcc34a4 0.768855
i = 090, asin( 090/128=(0.703125) ) = 0x3fe8f3fb14e496b4 0.779783
i = 091, asin( 091/128=(0.710938) ) = 0x3fe94e7b8da3cf7a 0.790830
i = 092, asin( 092/128=(0.718750) ) = 0x3fe9aa01babef75e 0.802003
i = 093, asin( 093/128=(0.726562) ) = 0x3fea0699b66a8718 0.813306
i = 094, asin( 094/128=(0.734375) ) = 0x3fea645078c6a78c 0.824745
i = 095, asin( 095/128=(0.742188) ) = 0x3feac333ef06451a 0.836328
i = 096, asin( 096/128=(0.750000) ) = 0x3feb235315c680dc 0.848062
i = 097, asin( 097/128=(0.757812) ) = 0x3feb84be172438ef 0.859954
i = 098, asin( 098/128=(0.765625) ) = 0x3febe7866d3b6481 0.872012
i = 099, asin( 099/128=(0.773438) ) = 0x3fec4bbf09e19830 0.884246
i = 100, asin( 100/128=(0.781250) ) = 0x3fecb17c849c7288 0.896666
i = 101, asin( 101/128=(0.789062) ) = 0x3fed18d55010f295 0.909281
i = 102, asin( 102/128=(0.796875) ) = 0x3fed81e1f875ea8d 0.922105
i = 103, asin( 103/128=(0.804688) ) = 0x3fedecbd6cf77786 0.935149
i = 104, asin( 104/128=(0.812500) ) = 0x3fee5985567b665d 0.948428
i = 105, asin( 105/128=(0.820312) ) = 0x3feec85a7ee191da 0.961957
i = 106, asin( 106/128=(0.828125) ) = 0x3fef39614cbef7d4 0.975754
i = 107, asin( 107/128=(0.835938) ) = 0x3fefacc258c4aaf9 0.989839
i = 108, asin( 108/128=(0.843750) ) = 0x3ff0115591d29d12 1.004232
i = 109, asin( 109/128=(0.851562) ) = 0x3ff04da77ac5c9e5 1.018959
i = 110, asin( 110/128=(0.859375) ) = 0x3ff08b73f9af1058 1.034046
i = 111, asin( 111/128=(0.867188) ) = 0x3ff0cadc3d4378b1 1.049526
i = 112, asin( 112/128=(0.875000) ) = 0x3ff10c066d3e6932 1.065436
i = 113, asin( 113/128=(0.882812) ) = 0x3ff14f1ec67484ed 1.081816
i = 114, asin( 114/128=(0.890625) ) = 0x3ff194590de7e7f6 1.098718
i = 115, asin( 115/128=(0.898438) ) = 0x3ff1dbf27dd2221a 1.116198
i = 116, asin( 116/128=(0.906250) ) = 0x3ff2263461820ad8 1.134327
i = 117, asin( 117/128=(0.914062) ) = 0x3ff27377b2570a1e 1.153190
i = 118, asin( 118/128=(0.921875) ) = 0x3ff2c42a3a3c7a87 1.172892
i = 119, asin( 119/128=(0.929688) ) = 0x3ff318d619008ed9 1.193564
i = 120, asin( 120/128=(0.937500) ) = 0x3ff3722d2feb24c8 1.215375
i = 121, asin( 121/128=(0.945312) ) = 0x3ff3d11b3fc3b697 1.238551
i = 122, asin( 122/128=(0.953125) ) = 0x3ff436e4418e69c0 1.263401
i = 123, asin( 123/128=(0.960938) ) = 0x3ff4a55ae332c7a5 1.290370
i = 124, asin( 124/128=(0.968750) ) = 0x3ff51f4bd13f8591 1.320141
i = 125, asin( 125/128=(0.976562) ) = 0x3ff5a96e34bc532b 1.353865
i = 126, asin( 126/128=(0.984375) ) = 0x3ff64cf55148366f 1.393789
i = 127, asin( 127/128=(0.992188) ) = 0x3ff721a5d8718655 1.445715
